ID	Phylum	Genus	KO	eggNOG	N	T2D	RA	LC	P	M	
V1.CD7-4_GL0092532	Bacteroidetes	Bacteroides	K03499	COG0589;COG0475	2130.809585	4802.784276	1456.168462	2478.305187	1.44E-15	L	
V1.FI15_GL0091340	Firmicutes	Clostridium	unknown	unknown	3190.573572	2370.073512	7368.145869	1880.403602	6.00E-31	H	
537013.CLOSTMETH_01763	Firmicutes	Clostridium	unknown	unknown	4659.607616	4932.592771	8117.388915	1810.857594	7.30E-25	H	
537013.CLOSTMETH_01764	Firmicutes	Clostridium	unknown	unknown	5455.527789	6292.972965	8907.737638	1667.000122	3.52E-21	H	
411468.CLOSCI_00111	Firmicutes	Clostridium	unknown	unknown	9235.800702	8015.514871	14699.61628	4639.992163	6.42E-23	H	
DOF003_GL0053139	Firmicutes	Clostridium	unknown	unknown	9773.443008	4142.749488	26850.53548	8370.268415	1.17E-56	H	
NOF005_GL0048852	Firmicutes	Coprococcus	K02003	COG1136	9800.678102	9302.755	11749.08705	5723.02274	2.95E-07	H	
470146.COPCOM_02835	Firmicutes	Coprococcus	unknown	NOG09638	4065.81117	2885.935006	7527.296562	2120.391033	8.39E-21	H	
470146.COPCOM_00148	Firmicutes	Coprococcus	unknown	unknown	7745.148491	2993.076441	15861.6181	4095.864325	7.16E-32	H	
411461.DORFOR_02648	Firmicutes	Dorea	K01144	COG0507	2711.204162	1070.546006	5476.495238	1224.793642	1.14E-30	H	
411461.DORFOR_03238	Firmicutes	Dorea	K06919	NOG84848	3615.242956	2440.391165	5890.463362	1989.296472	1.05E-24	H	
N046A_GL0075964	Firmicutes	Enterococcus	K14059	COG0582;NOG80739	10587.01813	11226.37356	14945.05386	5815.072114	8.29E-12	H	
MH0334_GL0082278	Firmicutes	Enterococcus	unknown	COG2856	11515.01114	13125.80804	16497.97874	5989.179049	3.50E-12	H	
MH0234_GL0009508	Firmicutes	Enterococcus	unknown	COG4646	3323.106914	3968.022529	4741.647277	1471.042659	1.03E-14	H	
DLM020_GL0007186	Firmicutes	Enterococcus	unknown	COG4646;COG0827	12370.38628	13437.04541	17411.7863	6401.268325	2.83E-12	H	
V1.CD9-0_GL0022459	Firmicutes	Enterococcus	unknown	COG4646;COG0827	2269.19688	2479.412859	3241.546138	1113.066081	6.53E-14	H	
MH0436_GL0140800	Firmicutes	Enterococcus	unknown	unknown	1920.464368	2011.309141	2633.667623	1114.718902	5.55E-10	H	
657319.EUS_08220	Firmicutes	Eubacterium	K02355	COG0480	26003.96767	31583.52795	45620.51955	10287.92871	3.66E-29	H	
DLM006_GL0010128	Firmicutes	Eubacterium	K03327	COG0534	5276.282556	5252.896794	11416.56455	1863.065341	1.56E-27	H	
411463.EUBVEN_02858	Firmicutes	Eubacterium	K03712	COG1846	36647.38479	27311.13959	49597.58815	23094.13895	7.09E-25	H	
NOM029_GL0059956	Firmicutes	Eubacterium	unknown	NOG235740	19838.30798	13032.78948	31090.09677	12966.2223	5.20E-25	H	
MH0033_GL0025681	Firmicutes	Eubacterium	unknown	NOG286155	20535.32225	16780.30066	63415.69275	6113.025545	8.24E-16	H	
SZEY-58A_GL0031482	Firmicutes	Eubacterium	unknown	unknown	3490.070057	1332.290606	6606.143546	1766.816057	8.33E-23	H	
411469.EUBHAL_02662	Firmicutes	Eubacterium	unknown	unknown	7352.763037	6805.252182	10025.95369	3323.110146	7.23E-15	H	
MH0159_GL0072367	Firmicutes	Faecalibacterium	K00384	COG0492	4967.24723	3201.565035	5802.274715	4812.317537	1.19E-07	H	
MH0022_GL0014028	Firmicutes	Faecalibacterium	K00526	COG0208	3939.363702	3735.410582	4637.869962	1969.406244	3.58E-14	H	
DLM001_GL0011494	Firmicutes	Faecalibacterium	K02315	COG1484	4505.998026	2877.260171	9432.006562	2154.521797	1.26E-36	H	
NOM025_GL0010087	Firmicutes	Faecalibacterium	K02315	COG1484	4863.005775	3011.883476	9271.053777	2147.780528	1.44E-33	H	
MH0096_GL0073471	Firmicutes	Faecalibacterium	K02878	COG0197	10200.27461	6200.890294	11744.78071	10448.13603	3.70E-08	H	
NLM010_GL0094653	Firmicutes	Faecalibacterium	K06400	COG1961	7976.960146	5199.331924	15985.48209	2913.799317	4.30E-37	H	
748224.HMPREF9436_02753	Firmicutes	Faecalibacterium	K06919	COG5545	11744.07995	11500.63772	16454.04015	8184.479325	1.49E-17	H	
V1.UC55-4_GL0008150	Firmicutes	Faecalibacterium	K10947	COG1695	8053.019089	3823.243488	16135.04955	3175.165927	2.12E-41	H	
V1.UC30-0_GL0111798	Firmicutes	Faecalibacterium	K12063	COG3451	1031.38089	527.5622059	2368.928346	486.8595203	1.61E-14	H	
BGI002A_GL0131118	Firmicutes	Faecalibacterium	unknown	NOG294082	7022.524428	6368.961335	11641.43701	3008.747146	2.43E-34	H	
NLF011_GL0006666	Firmicutes	Faecalibacterium	unknown	NOG69420	4506.582702	2986.865541	8929.435746	2026.723919	4.99E-39	H	
O2.UC59-0_GL0071908	Firmicutes	Faecalibacterium	unknown	NOG69420	5727.080676	3724.622041	11452.78452	2237.900089	4.06E-41	H	
DOM018_GL0008423	Firmicutes	Faecalibacterium	unknown	unknown	10274.16193	5396.565882	17762.69489	6711.156138	1.01E-33	H	
MH0108_GL0093390	Firmicutes	Faecalibacterium	unknown	unknown	12833.67438	9001.047853	19600.47663	8379.251293	8.20E-24	H	
T2D-53A_GL0084149	Firmicutes	Faecalibacterium	unknown	unknown	3457.456762	2387.027547	5096.329246	2122.852886	9.39E-16	H	
MH0012_GL0207837	Bacteroidetes	Bacteroides	K12524	COG0460;COG0527	2203.705214	5071.852194	1584.017569	2606.978724	1.67E-15	L	
411485.FAEPRAM212_00064	Firmicutes	Faecalibacterium	unknown	unknown	5728.029587	3412.419024	9037.530554	3265.150163	7.31E-26	H	
MH0012_GL0110795	Bacteroidetes	Bacteroides	K03545	NOG113699	2603.235	5895.919953	1763.301231	3059.669244	1.70E-15	L	
T2D-34A_GL0035990	Bacteroidetes	Bacteroides	K05989	NOG295869	1204.540214	2952.601547	895.9051538	1403.607285	1.78E-15	L	
MH0012_GL0213894	Bacteroidetes	Bacteroides	K08218	NOG295423	1779.296355	4104.870294	1196.551454	2189.244268	2.24E-15	L	
V1.UC57-0_GL0096365	Bacteroidetes	Bacteroides	K01066	COG0657	2184.259744	3604.331394	1346.882815	3905.131301	2.28E-15	L	
MH0012_GL0064483	Bacteroidetes	Bacteroides	K02014	NOG71724	2167.009666	5021.684947	1452.801815	2421.462276	2.61E-15	L	
435591.BDI_1998	Bacteroidetes	Parabacteroides	K00936	COG0642	2265.042326	5108.375024	1477.396831	2815.235911	2.75E-15	L	
435591.BDI_2309	Bacteroidetes	Parabacteroides	K02014	NOG71724	2144.091071	4978.844782	1487.686038	2505.715407	3.02E-15	L	
411467.BACCAP_04478	Firmicutes	Pseudoflavonifractor	unknown	unknown	3731.839869	4346.356029	4899.345738	1793.905805	3.58E-13	H	
MH0246_GL0105472	Firmicutes	Roseburia	K02004	COG0577	5817.240287	2789.241765	8406.270146	3473.388016	2.22E-11	H	
MH0059_GL0029485	Firmicutes	Roseburia	K02004	COG0577	5920.860791	2789.336476	8809.123131	3096.502301	7.93E-13	H	
MH0402_GL0214622	Firmicutes	Roseburia	K07133	COG1373	1381.462966	1578.076276	2040.982169	482.0821382	7.69E-20	H	
N064A_GL0028285	Firmicutes	Roseburia	unknown	COG0791	7529.132611	5899.597541	11098.523	4590.646675	6.71E-14	H	
585394.RHOM_13725	Firmicutes	Roseburia	unknown	NOG303501	31881.71156	22207.34575	46220.96962	18145.19537	7.71E-31	H	
DOF006_GL0037981	Firmicutes	Roseburia	unknown	NOG69420	6722.708217	5760.7528	11019.21352	3705.493837	8.94E-29	H	
MH0311_GL0031693	Firmicutes	Roseburia	unknown	unknown	12486.22958	9351.768994	17091.75463	6075.108813	2.81E-20	H	
O2.CD2-0_GL0034479	Firmicutes	Ruminococcus	K00936	COG0642	6503.651175	4037.461053	8150.360146	3798.832463	2.04E-14	H	
O2.CD3-0-PT_GL0163254	Firmicutes	Ruminococcus	K02004	COG0577	3014.683692	2000.867918	3664.487862	1800.417691	8.80E-14	H	
MH0456_GL0067004	Firmicutes	Ruminococcus	K02004	NOG239434	1513.797104	1222.332971	1892.618823	857.8942033	5.88E-10	H	
MH0035_GL0027553	Firmicutes	Ruminococcus	K02004	NOG239434	6186.33223	4391.224259	8684.504777	3101.502951	2.23E-22	H	
V1.CD11-0_GL0045943	Firmicutes	Ruminococcus	K07776	COG0745	2727.151893	1928.984365	4199.244354	1291.303602	1.34E-21	H	
T2D-42A_GL0036086	Firmicutes	Ruminococcus	unknown	NOG303501	8488.755781	5599.548129	9004.762292	6609.345268	1.19E-09	H	
213810.RUM_R_24660	Firmicutes	Ruminococcus	unknown	unknown	10629.70481	10134.94118	18768.80619	3205.632764	3.30E-27	H	
657321.RBR_R_22270	Firmicutes	Ruminococcus	unknown	unknown	13739.6504	12747.46653	31435.887	2934.249951	4.14E-25	H	
657321.RBR_R_22260	Firmicutes	Ruminococcus	unknown	unknown	30864.32991	26774.73104	70789.81536	6187.512504	5.25E-22	H	
MH0074_GL0055678	Bacteroidetes	Bacteroides	K01546	COG2060	2435.451428	5452.425512	1616.866662	2832.957455	3.15E-15	L	
MH0012_GL0169214	Bacteroidetes	Bacteroides	K06959	COG2183	1780.943141	4100.535806	1263.268469	2134.191089	3.65E-15	L	
MH0114_GL0011777	Firmicutes	unknown	K00568	COG0500	14892.40679	16664.78825	23734.11214	7029.929301	1.46E-21	H	
MH0027_GL0024068	Firmicutes	unknown	K00936	COG0642	39609.4872	27551.84562	61056.81241	19364.30953	9.15E-33	H	
T2D-133A_GL0078064	Firmicutes	unknown	K00936	COG0642	6662.289308	5097.908006	8545.386162	4212.453829	4.58E-14	H	
NLF012_GL0041140	Firmicutes	unknown	K00995	COG0558	29443.77287	15970.97448	42125.36626	18734.07551	2.14E-24	H	
MH0047_GL0009506	Firmicutes	unknown	K01005	COG1502	36123.36177	21210.32474	47439.72438	21131.42574	1.43E-25	H	
MH0100_GL0112387	Firmicutes	unknown	K01144	COG0507	3316.151258	3747.895094	4812.981646	1629.675594	4.36E-23	H	
MH0178_GL0007505	Firmicutes	unknown	K01144	COG0507	4737.259668	4282.501606	6999.359662	2779.113463	7.50E-22	H	
MH0129_GL0125592	Firmicutes	unknown	K01144	COG0507	6295.921201	2838.467053	12494.66925	3292.178276	1.60E-31	H	
O2.UC18-0_GL0030990	Firmicutes	unknown	K01144	COG0507	6687.42971	4890.743759	9842.162177	3396.792163	1.41E-21	H	
V1.CD38-0_GL0164442	Firmicutes	unknown	K02003	COG1136	4774.767775	1637.152576	11938.53695	1258.974	7.05E-25	H	
MH0012_GL0023211	Bacteroidetes	Bacteroides	K03217	COG0706	1898.949836	4247.940894	1319.784892	2261.494089	7.17E-15	L	
MH0410_GL0079252	Firmicutes	unknown	K02003	COG1136	5553.297204	3655.085512	5727.308792	4483.059187	6.16E-07	H	
T2D-19A_GL0039044	Firmicutes	unknown	K02004	COG0577	7327.610937	5053.988553	8894.981931	5123.557935	5.86E-11	H	
MH0068_GL0055069	Firmicutes	unknown	K02004	NOG254197;COG0577	6606.690574	2285.226453	16122.79125	1889.505764	1.76E-22	H	
MH0111_GL0127277	Firmicutes	unknown	K02315	COG1484	17123.85746	13509.17973	28386.66685	8340.146577	2.81E-30	H	
NOM010_GL0028054	Firmicutes	unknown	K02483	COG0745	12721.8944	9801.691053	15305.57257	8924.59248	1.60E-07	H	
N104A_GL0039541	Firmicutes	unknown	K02483	COG0745	1785.751428	1861.854876	2454.783385	1126.445228	2.26E-09	H	
O2.UC17-0_GL0023843	Firmicutes	unknown	K02483	COG0745	44063.80857	29535.73786	58078.43595	27836.20747	1.01E-23	H	
MH0327_GL0039096	Firmicutes	unknown	K02483	COG0745	8068.94682	5580.996006	11370.74852	4061.701976	2.46E-30	H	
O2.UC1-0_GL0025267	Firmicutes	unknown	K03088	NOG286531	10881.03531	5767.902059	21284.33288	4606.437358	1.96E-47	H	
O2.UC32-1_GL0019091	Firmicutes	unknown	K03088	NOG286531	5263.71106	2665.087406	10025.69849	2279.666537	7.24E-48	H	
N088A_GL0159846	Firmicutes	unknown	K03497	COG1475	1595.885807	1322.457947	2526.915062	1130.534496	1.25E-14	H	
MH0003_GL0109846	Firmicutes	unknown	K03497	COG1475	6301.761856	5358.386276	9243.466146	3081.404439	6.98E-16	H	
MH0047_GL0009044	Firmicutes	unknown	K06131	COG1502	42007.53816	26139.94128	52216.29157	27995.85963	1.26E-17	H	
O2.UC32-2_GL0108061	Firmicutes	unknown	K06131	COG1502	5123.914185	3484.170053	5717.160385	3296.322236	2.42E-11	H	
V1.UC53-0_GL0065666	Firmicutes	unknown	K06158	COG0488	11617.37003	8166.009524	14496.19713	9025.253504	6.22E-12	H	
V1.CD21-0_GL0006059	Firmicutes	unknown	K06400	COG1961	10288.84059	8863.878471	16152.14409	4839.395089	1.72E-28	H	
MH0052_GL0012147	Firmicutes	unknown	K06400	COG1961	11475.58351	9692.193159	18098.45639	6375.998366	7.40E-22	H	
V1.CD3-0-PT_GL0024009	Firmicutes	unknown	K06400	COG1961	13132.98201	11059.64158	21066.9452	5167.284699	6.50E-39	H	
V1.CD35-0_GL0043317	Firmicutes	unknown	K06400	COG1961	13409.04919	10845.91247	20729.24969	7208.679545	1.70E-29	H	
NLM002_GL0020135	Firmicutes	unknown	K06400	COG1961	3512.438123	3464.268394	5941.652046	2181.98561	9.01E-23	H	
N064A_GL0004399	Firmicutes	unknown	K06400	COG1961	3739.649324	3551.617553	6162.702369	1456.404016	8.88E-18	H	
MH0124_GL0013049	Firmicutes	unknown	K06400	COG1961	4194.170496	4053.246194	6200.201085	1897.526057	9.40E-21	H	
MH0048_GL0029884	Firmicutes	unknown	K06400	COG1961	44572.46688	43608.36602	64608.83841	27041.84128	1.80E-24	H	
DOF007_GL0033239	Firmicutes	unknown	K06400	COG1961	4925.725945	4445.859453	7283.234269	2812.967455	2.90E-22	H	
V1.CD3-3-PN_GL0018930	Firmicutes	unknown	K06400	COG1961	6938.48417	6146.569794	9991.1301	3662.355959	1.03E-22	H	
O2.UC19-0_GL0054199	Firmicutes	unknown	K06400	COG1961	7507.129556	5732.956147	12722.55308	3488.135992	1.54E-32	H	
V1.CD17-4_GL0119656	Firmicutes	unknown	K06400	COG1961	834.0320026	904.7461118	1461.872308	302.2543333	1.25E-17	H	
N025A_GL0086578	Firmicutes	unknown	K06400	COG1961	9582.711256	7402.071182	12988.56109	5974.426919	9.63E-13	H	
DLM005_GL0056932	Firmicutes	unknown	K06919	COG5545	57935.43809	55545.39457	81441.58673	35861.08189	1.73E-24	H	
V1.CD35-0_GL0015092	Firmicutes	unknown	K07133	COG1373	15927.04291	15084.09516	21541.72644	9711.485504	2.40E-14	H	
V1.CD1-0-PT_GL0010749	Firmicutes	unknown	K07133	COG1373	2922.965548	2716.075418	4428.214992	1367.157569	1.46E-21	H	
483218.BACPEC_00282	Firmicutes	unknown	K07776	COG0745	5695.47671	3583.700347	7277.516115	3210.449764	3.28E-16	H	
O2.UC20-0_GL0032101	Firmicutes	unknown	K12063	COG3451	18811.7762	15334.13155	23028.79225	11062.97071	1.45E-09	H	
MH0012_GL0004200	Firmicutes	unknown	K14059	COG0582	13902.84726	15905.52489	18237.02482	7675.322659	1.28E-09	H	
O2.UC36-2_GL0113515	Firmicutes	unknown	K14059	COG0582	7086.348055	3119.941535	11939.61459	3216.161398	4.74E-26	H	
158802708-stool1_revised_scaffold15425_2_gene157732	Firmicutes	unknown	unknown	COG0500	2721.079598	3009.734829	3981.623631	1453.869512	4.15E-15	H	
MH0022_GL0015103	Firmicutes	unknown	unknown	COG0582	5610.80047	2599.337606	9026.865646	2756.921756	3.37E-22	H	
MH0012_GL0003821	Bacteroidetes	Bacteroides	K03168	COG0550;COG1754	2245.602778	4994.247918	1618.2986	2523.805691	1.46E-14	L	
T2D-187A_GL0050611	Firmicutes	unknown	unknown	NOG116632	3931.656371	3572.805018	5124.382823	2096.637333	1.62E-11	H	
MH0350_GL0105480	Firmicutes	unknown	unknown	NOG145253	14686.09524	11416.59151	22324.30467	8314.143561	1.47E-17	H	
