ID	Phylum	Genus	KO	eggNOG	N	T2D	RA	LC	P	M
V1.CD44-0_GL0040906	Firmicutes	Clostridium	unknown	NOG294082	1226.419935	448.7884882	921.0087692	2376.584171	6.63E-25	H
428125.CLOLEP_01448	Firmicutes	Clostridium	unknown	NOG69646	3624.122198	3611.206847	7043.589531	747.2222358	5.58E-27	L
SZEY-64A_GL0010283	Firmicutes	Clostridium	unknown	unknown	1949.852201	1853.735976	4252.340862	867.9775122	4.34E-27	L
NOM026_GL0029774	Firmicutes	Clostridium	unknown	unknown	2998.15754	2064.076812	1740.410985	5197.156504	4.93E-16	H
V1.FI15_GL0091340	Firmicutes	Clostridium	unknown	unknown	3190.573572	2370.073512	7368.145869	1880.403602	6.00E-31	L
537013.CLOSTMETH_01763	Firmicutes	Clostridium	unknown	unknown	4659.607616	4932.592771	8117.388915	1810.857594	7.30E-25	L
537013.CLOSTMETH_01764	Firmicutes	Clostridium	unknown	unknown	5455.527789	6292.972965	8907.737638	1667.000122	3.52E-21	L
763901136-stool1_revised_scaffold34436_2_gene135410	Firmicutes	Clostridium	unknown	unknown	6606.215984	2939.071959	7105.7391	11668.25037	1.45E-19	H
411468.CLOSCI_00111	Firmicutes	Clostridium	unknown	unknown	9235.800702	8015.514871	14699.61628	4639.992163	6.42E-23	L
NOF005_GL0048852	Firmicutes	Coprococcus	K02003	COG1136	9800.678102	9302.755	11749.08705	5723.02274	2.95E-07	L
470146.COPCOM_02835	Firmicutes	Coprococcus	unknown	NOG09638	4065.81117	2885.935006	7527.296562	2120.391033	8.39E-21	L
411461.DORFOR_03238	Firmicutes	Dorea	K06919	NOG84848	3615.242956	2440.391165	5890.463362	1989.296472	1.05E-24	L
N046A_GL0075964	Firmicutes	Enterococcus	K14059	COG0582;NOG80739	10587.01813	11226.37356	14945.05386	5815.072114	8.29E-12	L
MH0334_GL0082278	Firmicutes	Enterococcus	unknown	COG2856	11515.01114	13125.80804	16497.97874	5989.179049	3.50E-12	L
MH0234_GL0009508	Firmicutes	Enterococcus	unknown	COG4646	3323.106914	3968.022529	4741.647277	1471.042659	1.03E-14	L
DLM020_GL0007186	Firmicutes	Enterococcus	unknown	COG4646;COG0827	12370.38628	13437.04541	17411.7863	6401.268325	2.83E-12	L
V1.CD9-0_GL0022459	Firmicutes	Enterococcus	unknown	COG4646;COG0827	2269.19688	2479.412859	3241.546138	1113.066081	6.53E-14	L
MH0436_GL0140800	Firmicutes	Enterococcus	unknown	unknown	1920.464368	2011.309141	2633.667623	1114.718902	5.55E-10	L
657319.EUS_08220	Firmicutes	Eubacterium	K02355	COG0480	26003.96767	31583.52795	45620.51955	10287.92871	3.66E-29	L
DLM006_GL0010128	Firmicutes	Eubacterium	K03327	COG0534	5276.282556	5252.896794	11416.56455	1863.065341	1.56E-27	L
411463.EUBVEN_02858	Firmicutes	Eubacterium	K03712	COG1846	36647.38479	27311.13959	49597.58815	23094.13895	7.09E-25	L
NOM029_GL0059956	Firmicutes	Eubacterium	unknown	NOG235740	19838.30798	13032.78948	31090.09677	12966.2223	5.20E-25	L
MH0033_GL0025681	Firmicutes	Eubacterium	unknown	NOG286155	20535.32225	16780.30066	63415.69275	6113.025545	8.24E-16	L
411469.EUBHAL_02662	Firmicutes	Eubacterium	unknown	unknown	7352.763037	6805.252182	10025.95369	3323.110146	7.23E-15	L
MH0022_GL0014028	Firmicutes	Faecalibacterium	K00526	COG0208	3939.363702	3735.410582	4637.869962	1969.406244	3.58E-14	L
DLM001_GL0011494	Firmicutes	Faecalibacterium	K02315	COG1484	4505.998026	2877.260171	9432.006562	2154.521797	1.26E-36	L
NOM025_GL0010087	Firmicutes	Faecalibacterium	K02315	COG1484	4863.005775	3011.883476	9271.053777	2147.780528	1.44E-33	L
SZEY-48A_GL0009720	Firmicutes	Faecalibacterium	K02879	COG0203	14875.1184	9993.002659	13074.42055	18466.36427	2.36E-07	H
MH0270_GL0117928	Firmicutes	Faecalibacterium	K02904	COG0255	3848.565159	1553.216441	2620.033708	7647.367992	1.28E-28	H
NOF009_GL0003357	Firmicutes	Faecalibacterium	K02916	COG0291	4260.924992	1744.824682	3392.548177	8599.319756	3.20E-28	H
MH0204_GL0017355	Firmicutes	Faecalibacterium	K02961	COG0186	8645.369749	5498.739576	6805.375062	11157.39428	6.62E-10	H
N033A_GL0008339	Firmicutes	Faecalibacterium	K02965	COG0185	5041.373311	2527.773265	3571.650515	9969.513081	6.85E-28	H
NLM010_GL0094653	Firmicutes	Faecalibacterium	K06400	COG1961	7976.960146	5199.331924	15985.48209	2913.799317	4.30E-37	L
748224.HMPREF9436_02753	Firmicutes	Faecalibacterium	K06919	COG5545	11744.07995	11500.63772	16454.04015	8184.479325	1.49E-17	L
MH0001_GL0019693	Firmicutes	Faecalibacterium	K06960	unknown	6700.730888	3422.262918	5264.454138	11237.09194	1.13E-20	H
V1.UC55-4_GL0008150	Firmicutes	Faecalibacterium	K10947	COG1695	8053.019089	3823.243488	16135.04955	3175.165927	2.12E-41	L
V1.UC30-0_GL0111798	Firmicutes	Faecalibacterium	K12063	COG3451	1031.38089	527.5622059	2368.928346	486.8595203	1.61E-14	L
BGI002A_GL0131118	Firmicutes	Faecalibacterium	unknown	NOG294082	7022.524428	6368.961335	11641.43701	3008.747146	2.43E-34	L
NLF011_GL0006666	Firmicutes	Faecalibacterium	unknown	NOG69420	4506.582702	2986.865541	8929.435746	2026.723919	4.99E-39	L
O2.UC59-0_GL0071908	Firmicutes	Faecalibacterium	unknown	NOG69420	5727.080676	3724.622041	11452.78452	2237.900089	4.06E-41	L
MH0108_GL0093390	Firmicutes	Faecalibacterium	unknown	unknown	12833.67438	9001.047853	19600.47663	8379.251293	8.20E-24	L
411485.FAEPRAM212_01165	Firmicutes	Faecalibacterium	unknown	unknown	19548.0701	11578.43212	15438.34878	24982.99585	4.71E-12	H
DLM027_GL0046788	Firmicutes	Faecalibacterium	unknown	unknown	3373.255595	1915.870665	2592.290362	6344.094211	5.79E-18	H
T2D-53A_GL0084149	Firmicutes	Faecalibacterium	unknown	unknown	3457.456762	2387.027547	5096.329246	2122.852886	9.39E-16	L
T2D-26A_GL0180107	Firmicutes	Faecalibacterium	unknown	unknown	4724.123781	2733.451071	2847.5073	7881.691325	1.62E-17	H
411485.FAEPRAM212_00055	Firmicutes	Faecalibacterium	unknown	unknown	4798.964705	3369.707229	3141.221323	8804.592098	6.05E-19	H
DLF004_GL0046167	Firmicutes	Faecalibacterium	unknown	unknown	5076.386493	3816.513106	3889.022292	8621.403285	1.89E-14	H
411485.FAEPRAM212_00064	Firmicutes	Faecalibacterium	unknown	unknown	5728.029587	3412.419024	9037.530554	3265.150163	7.31E-26	L
657322.FPR_32450	Firmicutes	Faecalibacterium	unknown	unknown	6768.43535	4725.037818	6113.414031	9072.81226	1.76E-08	H
N013A_GL0067574	Firmicutes	Faecalibacterium	unknown	unknown	8572.036627	4870.4209	6199.007954	14095.84025	2.16E-17	H
862965.PARA_r10	Proteobacteria	Haemophilus	unknown	unknown	4705.73494	3559.522065	2394.555277	27825.13734	8.93E-25	H
762982.HMPREF9442_01094	Bacteroidetes	Paraprevotella	unknown	NOG47313	2278.925859	1966.976629	830.3505846	4133.106976	6.50E-29	H
411467.BACCAP_04478	Firmicutes	Pseudoflavonifractor	unknown	unknown	3731.839869	4346.356029	4899.345738	1793.905805	3.58E-13	L
MH0402_GL0214622	Firmicutes	Roseburia	K07133	COG1373	1381.462966	1578.076276	2040.982169	482.0821382	7.69E-20	L
N064A_GL0028285	Firmicutes	Roseburia	unknown	COG0791	7529.132611	5899.597541	11098.523	4590.646675	6.71E-14	L
585394.RHOM_13725	Firmicutes	Roseburia	unknown	NOG303501	31881.71156	22207.34575	46220.96962	18145.19537	7.71E-31	L
DOF006_GL0037981	Firmicutes	Roseburia	unknown	NOG69420	6722.708217	5760.7528	11019.21352	3705.493837	8.94E-29	L
MH0311_GL0031693	Firmicutes	Roseburia	unknown	unknown	12486.22958	9351.768994	17091.75463	6075.108813	2.81E-20	L
O2.CD2-0_GL0034479	Firmicutes	Ruminococcus	K00936	COG0642	6503.651175	4037.461053	8150.360146	3798.832463	2.04E-14	L
O2.CD3-0-PT_GL0163254	Firmicutes	Ruminococcus	K02004	COG0577	3014.683692	2000.867918	3664.487862	1800.417691	8.80E-14	L
MH0456_GL0067004	Firmicutes	Ruminococcus	K02004	NOG239434	1513.797104	1222.332971	1892.618823	857.8942033	5.88E-10	L
MH0035_GL0027553	Firmicutes	Ruminococcus	K02004	NOG239434	6186.33223	4391.224259	8684.504777	3101.502951	2.23E-22	L
V1.CD11-0_GL0045943	Firmicutes	Ruminococcus	K07776	COG0745	2727.151893	1928.984365	4199.244354	1291.303602	1.34E-21	L
213810.RUM_R_24660	Firmicutes	Ruminococcus	unknown	unknown	10629.70481	10134.94118	18768.80619	3205.632764	3.30E-27	L
657321.RBR_R_22270	Firmicutes	Ruminococcus	unknown	unknown	13739.6504	12747.46653	31435.887	2934.249951	4.14E-25	L
657321.RBR_R_22260	Firmicutes	Ruminococcus	unknown	unknown	30864.32991	26774.73104	70789.81536	6187.512504	5.25E-22	L
MH0086_GL0106035	Firmicutes	Streptococcus	K01952	COG0047;COG0046	867.409047	732.2552882	780.6821538	4841.152236	3.63E-10	H
MH0341_GL0102431	Firmicutes	Streptococcus	K02355	COG0480	1083.537086	892.2791	1034.632708	6084.901049	6.78E-11	H
DLF014_GL0043096	Firmicutes	Streptococcus	K03043	COG0085	1075.565149	905.8487	1056.7486	5958.81048	7.63E-11	H
1000570.HMPREF9966_1928	Firmicutes	Streptococcus	unknown	unknown	1405.732261	1486.530665	1528.913585	8098.485203	1.86E-14	H
1000570.HMPREF9966_1926	Firmicutes	Streptococcus	unknown	unknown	1523.932426	1584.382541	1681.583638	6681.800415	5.30E-14	H
264199.stu_r17	Firmicutes	Streptococcus	unknown	unknown	6883.018859	6403.069647	6472.060792	35605.72971	2.21E-13	H
264199.stu_r01	Firmicutes	Streptococcus	unknown	unknown	7053.226799	6357.243788	6751.6078	33044.8063	1.44E-12	H
210007.SMU_r01	Firmicutes	Streptococcus	unknown	unknown	723.1447546	697.3707824	729.6010923	2427.671537	1.50E-14	H
879309.HMPREF9199_1432	Firmicutes	Veillonella	unknown	unknown	5398.969496	8186.246294	4388.995062	58416.91042	2.15E-32	H
457416.HMPREF0873_02503	Firmicutes	Veillonella	unknown	unknown	6901.210222	9715.181765	5614.603292	56806.97383	3.06E-30	H
V1.FI28_GL0088525	unknown	unknown	K00561	COG0030	20850.52201	19509.95325	32224.55508	12300.31754	4.06E-16	L
MH0114_GL0011777	Firmicutes	unknown	K00568	COG0500	14892.40679	16664.78825	23734.11214	7029.929301	1.46E-21	L
MH0027_GL0024068	Firmicutes	unknown	K00936	COG0642	39609.4872	27551.84562	61056.81241	19364.30953	9.15E-33	L
T2D-133A_GL0078064	Firmicutes	unknown	K00936	COG0642	6662.289308	5097.908006	8545.386162	4212.453829	4.58E-14	L
MH0047_GL0009506	Firmicutes	unknown	K01005	COG1502	36123.36177	21210.32474	47439.72438	21131.42574	1.43E-25	L
MH0100_GL0112387	Firmicutes	unknown	K01144	COG0507	3316.151258	3747.895094	4812.981646	1629.675594	4.36E-23	L
MH0178_GL0007505	Firmicutes	unknown	K01144	COG0507	4737.259668	4282.501606	6999.359662	2779.113463	7.50E-22	L
O2.UC18-0_GL0030990	Firmicutes	unknown	K01144	COG0507	6687.42971	4890.743759	9842.162177	3396.792163	1.41E-21	L
V1.UC31-0_GL0123827	Firmicutes	unknown	K01659	COG0372	2627.305872	919.9171529	841.8827385	4792.78635	8.81E-19	H
MH0400_GL0015712	unknown	unknown	K02003	COG1136	2799.190953	1653.692259	3148.991392	3295.432187	5.50E-11	H
V1.CD38-0_GL0164442	Firmicutes	unknown	K02003	COG1136	4774.767775	1637.152576	11938.53695	1258.974	7.05E-25	L
MH0068_GL0055069	Firmicutes	unknown	K02004	NOG254197;COG0577	6606.690574	2285.226453	16122.79125	1889.505764	1.76E-22	L
MH0111_GL0127277	Firmicutes	unknown	K02315	COG1484	17123.85746	13509.17973	28386.66685	8340.146577	2.81E-30	L
V1.CD43-0_GL0092368	unknown	unknown	K02355	COG0480	5442.080802	6640.417018	9404.033838	2541.342415	6.74E-21	L
NOM010_GL0028054	Firmicutes	unknown	K02483	COG0745	12721.8944	9801.691053	15305.57257	8924.59248	1.60E-07	L
N104A_GL0039541	Firmicutes	unknown	K02483	COG0745	1785.751428	1861.854876	2454.783385	1126.445228	2.26E-09	L
O2.UC17-0_GL0023843	Firmicutes	unknown	K02483	COG0745	44063.80857	29535.73786	58078.43595	27836.20747	1.01E-23	L
MH0327_GL0039096	Firmicutes	unknown	K02483	COG0745	8068.94682	5580.996006	11370.74852	4061.701976	2.46E-30	L
O2.UC1-0_GL0025267	Firmicutes	unknown	K03088	NOG286531	10881.03531	5767.902059	21284.33288	4606.437358	1.96E-47	L
O2.UC32-1_GL0019091	Firmicutes	unknown	K03088	NOG286531	5263.71106	2665.087406	10025.69849	2279.666537	7.24E-48	L
V1.UC23-0_GL0010627	unknown	unknown	K03427	COG0286	821.9217415	537.0850765	1472.876085	324.2137236	1.12E-28	L
MH0386_GL0007706	unknown	unknown	K03466	NOG69420	630.3704413	408.0736471	1228.700446	267.8115772	8.91E-32	L
N088A_GL0159846	Firmicutes	unknown	K03497	COG1475	1595.885807	1322.457947	2526.915062	1130.534496	1.25E-14	L
MH0003_GL0109846	Firmicutes	unknown	K03497	COG1475	6301.761856	5358.386276	9243.466146	3081.404439	6.98E-16	L
O2.UC32-2_GL0108061	Firmicutes	unknown	K06131	COG1502	5123.914185	3484.170053	5717.160385	3296.322236	2.42E-11	L
V1.CD21-0_GL0006059	Firmicutes	unknown	K06400	COG1961	10288.84059	8863.878471	16152.14409	4839.395089	1.72E-28	L
MH0052_GL0012147	Firmicutes	unknown	K06400	COG1961	11475.58351	9692.193159	18098.45639	6375.998366	7.40E-22	L
V1.CD3-0-PT_GL0024009	Firmicutes	unknown	K06400	COG1961	13132.98201	11059.64158	21066.9452	5167.284699	6.50E-39	L
V1.CD35-0_GL0043317	Firmicutes	unknown	K06400	COG1961	13409.04919	10845.91247	20729.24969	7208.679545	1.70E-29	L
NLM002_GL0020135	Firmicutes	unknown	K06400	COG1961	3512.438123	3464.268394	5941.652046	2181.98561	9.01E-23	L
N064A_GL0004399	Firmicutes	unknown	K06400	COG1961	3739.649324	3551.617553	6162.702369	1456.404016	8.88E-18	L
MH0124_GL0013049	Firmicutes	unknown	K06400	COG1961	4194.170496	4053.246194	6200.201085	1897.526057	9.40E-21	L
MH0048_GL0029884	Firmicutes	unknown	K06400	COG1961	44572.46688	43608.36602	64608.83841	27041.84128	1.80E-24	L
DOF007_GL0033239	Firmicutes	unknown	K06400	COG1961	4925.725945	4445.859453	7283.234269	2812.967455	2.90E-22	L
V1.CD3-3-PN_GL0018930	Firmicutes	unknown	K06400	COG1961	6938.48417	6146.569794	9991.1301	3662.355959	1.03E-22	L
O2.UC19-0_GL0054199	Firmicutes	unknown	K06400	COG1961	7507.129556	5732.956147	12722.55308	3488.135992	1.54E-32	L
V1.CD17-4_GL0119656	Firmicutes	unknown	K06400	COG1961	834.0320026	904.7461118	1461.872308	302.2543333	1.25E-17	L
N025A_GL0086578	Firmicutes	unknown	K06400	COG1961	9582.711256	7402.071182	12988.56109	5974.426919	9.63E-13	L
O2.UC4-2_GL0018875	Firmicutes	unknown	K06400	COG1961	980.7777937	1755.548176	712.8265077	265.6396667	2.04E-30	L
SZEY-106A_GL0121343	unknown	unknown	K06919	COG5545	2991.595452	3409.414535	5232.9316	1450.922089	6.00E-28	L
DLM005_GL0056932	Firmicutes	unknown	K06919	COG5545	57935.43809	55545.39457	81441.58673	35861.08189	1.73E-24	L
V1.CD35-0_GL0015092	Firmicutes	unknown	K07133	COG1373	15927.04291	15084.09516	21541.72644	9711.485504	2.40E-14	L
V1.CD1-0-PT_GL0010749	Firmicutes	unknown	K07133	COG1373	2922.965548	2716.075418	4428.214992	1367.157569	1.46E-21	L
V1.CD29-0_GL0080520	Firmicutes	unknown	K07636	COG0642	1041.551692	618.9843647	505.0788077	1910.22322	7.07E-17	H
483218.BACPEC_00282	Firmicutes	unknown	K07776	COG0745	5695.47671	3583.700347	7277.516115	3210.449764	3.28E-16	L
O2.UC20-0_GL0032101	Firmicutes	unknown	K12063	COG3451	18811.7762	15334.13155	23028.79225	11062.97071	1.45E-09	L
MH0012_GL0004200	Firmicutes	unknown	K14059	COG0582	13902.84726	15905.52489	18237.02482	7675.322659	1.28E-09	L
158802708-stool1_revised_scaffold15425_2_gene157732	Firmicutes	unknown	unknown	COG0500	2721.079598	3009.734829	3981.623631	1453.869512	4.15E-15	L
159814214-stool1_revised_scaffold2474_1_gene12733	unknown	unknown	unknown	COG0553	1121.829063	935.2459235	2237.786062	739.1230407	1.34E-25	L
MH0065_GL0021456	unknown	unknown	unknown	COG1961	1909.149676	1106.578706	672.4059154	3304.196683	2.57E-20	H
O2.UC28-1_GL0066101	Firmicutes	unknown	unknown	COG4422	4347.391094	4364.902824	3558.335338	2539.480211	6.80E-08	L
MH0432_GL0061327	unknown	unknown	unknown	COG4646	4497.54924	5083.366594	6208.332346	2407.07952	5.91E-11	L
T2D-187A_GL0050611	Firmicutes	unknown	unknown	NOG116632	3931.656371	3572.805018	5124.382823	2096.637333	1.62E-11	L
MH0041_GL0068626	unknown	unknown	unknown	NOG132084	431.9846162	212.6864647	350.0588846	796.7429106	3.49E-21	H
MH0186_GL0084399	Firmicutes	unknown	unknown	NOG137454	2355.825355	1265.1856	1052.813715	4302.669756	3.08E-22	H
MH0441_GL0238063	unknown	unknown	unknown	NOG137534	7560.309593	5622.072876	10617.52924	3850.707122	1.07E-19	L
MH0350_GL0105480	Firmicutes	unknown	unknown	NOG145253	14686.09524	11416.59151	22324.30467	8314.143561	1.47E-17	L
MH0427_GL0026761	Firmicutes	unknown	unknown	NOG246411	11952.54098	9179.411088	17127.31306	6602.047024	2.16E-15	L
MH0150_GL0048296	Firmicutes	unknown	unknown	NOG275177	21577.49615	12366.14302	36303.70262	11290.79143	4.33E-36	L
MH0416_GL0222505	Firmicutes	unknown	unknown	NOG283857	8491.014446	6387.1461	12897.11888	4970.594878	7.61E-16	L
MH0053_GL0001968	Firmicutes	unknown	unknown	NOG294082	10132.51785	8646.658518	16115.85208	4398.353862	2.06E-34	L
O2.UC26-0_GL0071524	Firmicutes	unknown	unknown	NOG294082	12375.2925	12024.30511	18480.33695	5757.289642	1.46E-29	L
MH0100_GL0055831	Firmicutes	unknown	unknown	NOG294082	13862.11505	12323.66818	22318.85585	6198.576447	4.35E-32	L
MH0043_GL0037533	Firmicutes	unknown	unknown	NOG294082	14482.34087	11659.66531	22441.2565	7124.972098	8.38E-32	L
ED16A_GL0013662	Firmicutes	unknown	unknown	NOG294082	1539.38	976.6373941	3162.960208	804.4082927	2.24E-31	L
MH0005_GL0013652	Firmicutes	unknown	unknown	NOG294082	5080.878345	3143.723512	10984.88958	2020.854553	2.50E-40	L
MH0290_GL0089027	Firmicutes	unknown	unknown	NOG294082	5572.061739	3512.420065	12425.18005	2117.464179	2.44E-48	L
NOM014_GL0011073	Firmicutes	unknown	unknown	NOG294082	6158.476292	5644.390165	8629.925823	2500.256902	5.85E-25	L
MH0156_GL0076339	Firmicutes	unknown	unknown	NOG294082	6948.620178	5636.555618	10671.39788	3672.532203	4.94E-28	L
V1.FI13_GL0038364	Firmicutes	unknown	unknown	NOG303501	11560.73469	8503.832512	16591.21556	6043.481667	2.87E-26	L
MH0384_GL0053570	Firmicutes	unknown	unknown	NOG303501	5087.196833	3473.712324	6596.152892	2964.824967	3.86E-17	L
MH0401_GL0116334	Firmicutes	unknown	unknown	NOG69420	25041.13764	22054.90537	40228.18232	12070.88759	1.51E-34	L
N035A_GL0040876	Firmicutes	unknown	unknown	NOG81629	13821.12399	13179.93804	20321.87731	9296.494187	1.41E-10	L
MH0290_GL0041020	Firmicutes	unknown	unknown	bactNOG14419	12587.298	9991.124329	20118.53709	7669.057122	4.96E-26	L
N040A_GL0067199	Firmicutes	unknown	unknown	bactNOG14419	2154.584104	1527.3078	3579.687754	1231.581407	2.24E-24	L
V1.FI29_GL0003925	Firmicutes	unknown	unknown	bactNOG26309	5809.531386	5830.009959	7328.593608	3506.528594	7.25E-12	L
MH0094_GL0019433	Firmicutes	unknown	unknown	firmNOG02947	12029.19881	13427.16659	17055.05815	6124.782748	3.17E-12	L
T2D-103A_GL0035604	Firmicutes	unknown	unknown	unknown	11043.22493	8298.646882	14125.87887	8275.205041	1.07E-09	L
O2.UC48-2_GL0086503	unknown	unknown	unknown	unknown	11413.79739	9567.493547	4734.189992	18557.06764	8.29E-30	H
MH0246_GL0016646	unknown	unknown	unknown	unknown	11446.38317	9565.625935	17259.30648	7258.596984	4.05E-17	L
V1.FI34_GL0048431	unknown	unknown	unknown	unknown	11558.06147	12249.53725	5104.143315	30456.10264	3.01E-51	H
V1.UC2-0_GL0124636	Firmicutes	unknown	unknown	unknown	12432.16302	8601.259229	20180.29651	7465.356236	6.14E-21	L
O2.UC17-1_GL0015701	Firmicutes	unknown	unknown	unknown	1247.05501	788.9457529	2280.307077	527.1089106	4.04E-33	L
MH0373_GL0055785	unknown	unknown	unknown	unknown	1344.778909	1233.7877	1988.684269	693.6753415	4.09E-15	L
